REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019/2020,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,288,,,,0
2020/2021,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,339,,,,0
2021/2022,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,387,,,,0
2011/2012,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,568998,,,,0
2012/2013,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,579621,,,,0
2013/2014,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,582282,,,,0
2014/2015,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,576120,,,,0
2015/2016,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,564591,,,,0
2016/2017,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,570456,,,,0
2017/2018,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,576603,,,,0
2018/2019,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,575070,,,,0
2019/2020,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,569946,,,,0
2020/2021,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,566325,,,,0
2021/2022,Ontario,2021A000235,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441420794,125.1.1.1.1.2.2.1,559254,,,,0
