"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1767","","","","0"
"2017/2018","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","2520","","","","0"
"2018/2019","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","2070","","","","0"
"2019/2020","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1740","","","","0"
"2020/2021","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1722","","","","0"
"2021/2022","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1683","","","","0"
"2022/2023","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1611","","","","0"
"2017/2018","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608998149","8.1.1.1.1.2.2.1","18","","","","0"
"2018/2019","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608998149","8.1.1.1.1.2.2.1","15","","","","0"
"2019/2020","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608998149","8.1.1.1.1.2.2.1","18","","","","0"
"2020/2021","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608998149","8.1.1.1.1.2.2.1","9","","","","0"
"2021/2022","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608998149","8.1.1.1.1.2.2.1","6","","","","0"
"2022/2023","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608998149","8.1.1.1.1.2.2.1","9","","","","0"
"2009/2010","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1609000625","9.1.1.1.1.2.2.1","38670","","","","0"
